1/21,arsonlolita,https://www.ptt.cc/bbs/Gossiping/M.1611160157.A.6FA.html
1/20,arsonlolita,https://www.ptt.cc/bbs/Gossiping/M.1611110942.A.DC1.html
1/18,u85279,https://www.ptt.cc/bbs/Gossiping/M.1610969045.A.253.html
1/21,goldenann,https://www.ptt.cc/bbs/Gossiping/M.1611201533.A.CE0.html
1/21,RiverEdge,https://www.ptt.cc/bbs/Gossiping/M.1611201414.A.81E.html
1/21,kusowan,https://www.ptt.cc/bbs/Gossiping/M.1611201360.A.E28.html
1/21,Sargasso,https://www.ptt.cc/bbs/Gossiping/M.1611201285.A.BA8.html
1/21,VVizZ,https://www.ptt.cc/bbs/Gossiping/M.1611201268.A.870.html
1/21,x747,https://www.ptt.cc/bbs/Gossiping/M.1611201257.A.A9A.html
1/21,mliao,https://www.ptt.cc/bbs/Gossiping/M.1611201217.A.B37.html
1/21,Elipton,https://www.ptt.cc/bbs/Gossiping/M.1611201048.A.EEC.html
1/21,senma,https://www.ptt.cc/bbs/Gossiping/M.1611200944.A.870.html
1/21,yniori,https://www.ptt.cc/bbs/Gossiping/M.1611200904.A.92B.html
1/21,h50212263,https://www.ptt.cc/bbs/Gossiping/M.1611200791.A.2F2.html
1/21,panda987,https://www.ptt.cc/bbs/Gossiping/M.1611200775.A.2A2.html
1/21,a12345x,https://www.ptt.cc/bbs/Gossiping/M.1611200732.A.8CA.html
1/21,kusowan,https://www.ptt.cc/bbs/Gossiping/M.1611200697.A.711.html
1/21,STAV72,https://www.ptt.cc/bbs/Gossiping/M.1611200682.A.CC4.html
1/21,hugh509,https://www.ptt.cc/bbs/Gossiping/M.1611200606.A.EB3.html
1/21,ds1999h,https://www.ptt.cc/bbs/Gossiping/M.1611200558.A.320.html
1/21,arrenwu,https://www.ptt.cc/bbs/Gossiping/M.1611200508.A.FCE.html
1/21,ssdog,https://www.ptt.cc/bbs/Gossiping/M.1611200498.A.7A4.html
1/21,semna,https://www.ptt.cc/bbs/Gossiping/M.1611200475.A.DE2.html
