看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1563960846.A.05A.html,hateOnas (△怕老婆△怕老婆),Fw: [公告] 請使用者多加注意我國保護兒少的法令,Wed Jul 24 17:34:05 2019,0,"

作者: longbow2 (踮起腳尖的親吻) 看板: SYSOP
標題: [公告] 請使用者多加注意我國保護兒少的法令
時間: Wed Jul 24 13:00:52 2019

請本站使用者多加留意，
於使用本站服務時遵守我國保護兒少之各項法規，




要點如下：




    除有正當理由(如急難協尋)外，
    
    尤其是文章或之內容為：
    兒童及少年遭、遺棄、遭拐騙綁票、
    於家事案件為當事人或關係人、
    於刑事案件之當事人或被害人，
    或
    違者，依法負法律責任。


    請參考：兒童及少年福利與權益與保障法第69條、第49條、
            第56條、第89條，
            兒童及少年性剝削防制條例第14條、第48條。




    兒童及少年性剝削依法指以下情況：
    (一)使兒童或少年為有對價之性交或猥褻行為。
    (二)利用兒童或少年為性交、猥褻之行為，以供人觀覽。
    (三)

    (四)使兒童或少年坐檯陪酒或涉及色情之伴遊、伴唱、伴舞等行為。


    除對兒少進行性剝削乃嚴重之犯罪外，
    

    均屬於應嚴格禁止之犯罪行為，
    違者，應負刑事責任。
    


    請參考：兒童及少年性剝削防制條例第36-40條、第8條。




    禁止於本站非十八禁看板發表、散布任何有害兒童及少年
    身心健康之資訊(如血腥、暴力、色情、賭博)，
    違者，依法負法律責任。

    請參考：刑法第235條，
            兒童及少年福利與權益保障法第46-1條、第94條。


                                       批踢踢實業坊法務部

--

"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1589282607.A.C87.html,cu0920 (遠看cu一朵花),[公告] 不願上表特 ＆ 優文推薦 ＆ 檢舉建議專區,Tue May 12 19:23:25 2020,423,"



請直接來信板主，說明哪一篇文章，與當事人關係()，以及不願上表特之原因，
若無法證明與當事人關係，將不予理會。

於，視為，板主可回絕刪除請求。




確認該文章推文數達 60 以上，或為有 m 文價值的整理文，給予推薦。
以下為優文推薦範例。

(

要檢舉推文犯規，或是文章，請註明。
文章前按 ，可查詢文章代號。以下為推文檢舉範例。

()


--

抱歉 當時是用手機操作 沒有退到文

已在ID_Problem申請新增退文 


 已公告


我M的~~~ 耶嘿





感謝關心 這幾天有兩篇剛出爐的


其實歐兔也有兩位板主 只是不像阿姬積極


以上已處理，未見處理請來信告知，感謝。


以上皆處理完畢


上面檢舉的哪件沒處理?


文章已刪除


感謝提醒QQ 抱歉我沒注意到QQ

done













原文已刪


  69668    11/13 -            □ (已被cu0920退文) <zoeapezoo> 政治文


阿姬沒看到吧@@??


喔


好你先冷靜 我提醒他一下!!!


我也想問你是來亂的嗎 :)


上面每個檢舉都跟你無關啊 什麼都湊一腳為了酸而酸

大家都知道你很熱心 積極參與板上事務 那你當時回信自己來做不就好了



你就回信讓他知道你還活著啊 就算你不想回答他任何問題

總比你現在馬後炮好吧


所以我上面不是說了 至少讓他知道你是本人啊

被盜帳號的那麼多 誰知道是不是其他人登入你帳號惡意參選

你自己來做的話不是更好

我看你當時沒去組務解釋 大概也是抱持消極態度吧

如果你的人生就是靠羞辱別人 用酸言酸語來獲得成就感

那你就繼續吧 相信你會很成功


感謝阿姬QQ











已m文


哪篇@@?


       4.非表特文：非表特事務，或是有其他更適合該文發布之板面。


該板規意指「」等事，

此違規行為偏向板規(六)

  (六) 欲提出檢舉、申訴或板務建議，可至置底文推文，或寄信至板主信箱，
       為維護看板討論風氣，請勿任意於板面提出。
       

若需以板規六檢舉 請重新推文


請附上欲檢舉之文章所違反之板規


哦哦我看到4點的推文了!!!

不過我覺得非表特文的定義比較狹隘

如果要定義的廣泛一點就要修改qq

"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611131147.A.D1A.html,k721102 (口口口口口口),[正妹] 醫學系,Wed Jan 20 16:25:37 2021,7,"




















--
   ┤├
          ◥          
             指著麤，故意說是
                  馬。比喻故意顛倒
             <￣   ■■■￣▏        是非，混淆黑白。
             / 〉     ∥ ▁

--
"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611127388.A.EC0.html,bbob (小海),[正妹] 儘管大聲斥責吧,Wed Jan 20 15:23:06 2021,45,"







感謝收看

--
"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611126519.A.AC2.html,a22580144 (對阿對阿),[神人] 清新警員,Wed Jan 20 15:08:37 2021,6,"



社團看到的 是某高中園遊會執勤的警察

但也沒透露什麼高中

覺得有興趣 就貼上來神一下

Ps：這樣我不算剛退伍吧
-----
Sent from JPTT on my iPhone

--
"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611124737.A.E10.html,hiireyman (新警察),[神人] 復興北路白皙正妹,Wed Jan 20 14:38:55 2021,11,"
地點：復興北路靠近五常街
時間：1/20下午14：15左右
經過：在掃街拍照的過程中看到此女生，白皙的肌膚，穿著黑色貼身短裙戴著airpod身
高約略165-168公分上下，寒流中彷彿載著暖流向我襲來，讓我不得不抬頭看她

在拍照的過程中也順便把她拍了下來，當我處理完自己事情後已經找不到人了

希望有人能夠神到ig，我願意為她貢獻我所有P幣，一塊錢不剩，謝謝





--
"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611114832.A.32B.html,ckpot (),[正妹] 大尺碼｜肉特(330),Wed Jan 20 11:53:49 2021,2,"
Misia O'Brien 美國人
              177cm 38D-32-46










































--
nce ve ance
e nce iful

Taiwan Plus Size Institute

IG: @140.118.41.115

--
"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611114609.A.A32.html,dog111222333 (lingzoe),[神人] 想神一個model帥哥,Wed Jan 20 11:50:07 2021,7,"
最近同事看到一個服飾品牌
他們家其中的model，上面資料寫叫瑋澤
找了好久，包括用他上面的名字去找
還有去品牌的IG去找
甚至連品牌IG的另一個一起拍攝的model追蹤裡頭去找
都完全找不到，然後私訊問了小編，小編說不知道
透過朋友的朋友去問了品牌的企劃也居然說不知道，
整個超級神秘啊!!!

從去年開始就覺得他感覺很有特色
很性格，主要是希望可以有工作上的合作
不知道大家有沒有人認識這個model帥哥呢


附上圖片





希望有認識他的人可以貼一下IG之類的
拜託了

--
"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611103889.A.3B6.html,ReiKuromiya (ReiKuromiya),[正妹] 杉井美咲,Wed Jan 20 08:51:27 2021,5,"
























@twinklemisaki

--
"
看板 Beauty,https://www.ptt.cc/bbs/Beauty/M.1611102300.A.1A4.html,ReiKuromiya (ReiKuromiya),[正妹] Nita,Wed Jan 20 08:24:57 2021,3,"



















--
"
